# WL(nm)	 Flux(ergs/cm**2/s/nm)
94.900000	 1.28E+02
95.000000	 1.77E+02
95.100000	 1.77E+02
95.200000	 1.77E+02
95.300000	 1.77E+02
95.400000	 1.77E+02
95.500000	 1.77E+02
95.600000	 1.77E+02
95.700000	 1.77E+02
95.800000	 1.77E+02
95.900000	 1.77E+02
96.000000	 1.77E+02
96.100000	 1.77E+02
96.200000	 1.77E+02
96.300000	 1.77E+02
96.400000	 1.77E+02
96.500000	 1.77E+02
96.600000	 1.77E+02
96.700000	 1.77E+02
96.800000	 1.77E+02
96.900000	 1.77E+02
97.000000	 1.77E+02
97.100000	 1.77E+02
97.200000	 1.77E+02
97.300000	 1.77E+02
97.400000	 1.77E+02
97.500000	 1.77E+02
97.600000	 1.77E+02
97.700000	 1.77E+02
97.800000	 1.77E+02
97.900000	 1.77E+02
98.000000	 1.77E+02
98.100000	 1.77E+02
98.200000	 1.77E+02
98.300000	 1.77E+02
98.400000	 1.77E+02
98.500000	 1.77E+02
98.600000	 1.77E+02
98.700000	 1.77E+02
98.800000	 1.77E+02
98.900000	 1.77E+02
99.000000	 1.77E+02
99.100000	 1.77E+02
99.200000	 1.77E+02
99.300000	 1.77E+02
99.400000	 1.77E+02
99.500000	 1.77E+02
99.600000	 1.77E+02
99.700000	 1.77E+02
99.800000	 1.77E+02
99.900000	 1.77E+02
100.000000	 1.77E+02
100.100000	 1.77E+02
100.200000	 1.77E+02
100.300000	 1.77E+02
100.400000	 1.77E+02
100.500000	 1.77E+02
100.600000	 1.77E+02
100.700000	 1.77E+02
100.800000	 1.77E+02
100.900000	 1.77E+02
101.000000	 1.77E+02
101.100000	 1.77E+02
101.200000	 1.77E+02
101.300000	 1.77E+02
101.400000	 1.77E+02
101.500000	 1.77E+02
101.600000	 1.77E+02
101.700000	 1.77E+02
101.800000	 1.77E+02
101.900000	 1.77E+02
102.000000	 1.77E+02
102.100000	 1.77E+02
102.200000	 1.77E+02
102.300000	 1.77E+02
102.400000	 1.77E+02
102.500000	 1.77E+02
102.600000	 1.77E+02
102.700000	 1.77E+02
102.800000	 1.77E+02
102.900000	 1.77E+02
103.000000	 1.77E+02
103.100000	 1.77E+02
103.200000	 1.77E+02
103.300000	 1.77E+02
103.400000	 1.77E+02
103.500000	 1.77E+02
103.600000	 1.77E+02
103.700000	 1.77E+02
103.800000	 1.77E+02
103.900000	 1.77E+02
104.000000	 1.77E+02
104.100000	 1.77E+02
104.200000	 1.77E+02
104.300000	 1.77E+02
104.400000	 1.77E+02
104.500000	 1.77E+02
104.600000	 1.77E+02
104.700000	 1.77E+02
104.800000	 1.77E+02
104.900000	 1.77E+02
105.000000	 1.77E+02
105.100000	 1.77E+02
105.200000	 1.77E+02
105.300000	 1.77E+02
105.400000	 1.77E+02
105.500000	 1.77E+02
105.600000	 1.77E+02
105.700000	 1.77E+02
105.800000	 1.77E+02
105.900000	 1.77E+02
106.000000	 1.77E+02
106.100000	 1.77E+02
106.200000	 1.77E+02
106.300000	 1.77E+02
106.400000	 1.77E+02
106.500000	 1.77E+02
106.600000	 1.77E+02
106.700000	 1.77E+02
106.800000	 1.77E+02
106.900000	 1.77E+02
107.000000	 1.77E+02
107.100000	 1.77E+02
