# WL(nm)	 Flux(ergs/cm**2/s/nm)
66.849944	 2.46E+02
66.949944	 2.46E+02
67.049944	 2.46E+02
67.149944	 2.46E+02
67.249944	 2.46E+02
67.349944	 2.46E+02
67.449944	 2.46E+02
67.549944	 2.46E+02
67.649944	 2.46E+02
67.749944	 2.46E+02
67.849944	 2.46E+02
67.949944	 2.46E+02
68.049944	 2.46E+02
68.149944	 2.46E+02
68.249944	 2.46E+02
68.349944	 2.46E+02
68.449944	 2.46E+02
68.549944	 2.46E+02
68.649944	 2.46E+02
68.749944	 2.46E+02
68.849944	 2.46E+02
68.949944	 2.46E+02
69.049944	 2.46E+02
69.149944	 2.46E+02
69.249944	 2.46E+02
69.349944	 2.46E+02
69.449944	 2.46E+02
69.549944	 2.46E+02
69.649944	 2.46E+02
69.749944	 2.46E+02
69.849944	 2.46E+02
69.949944	 2.46E+02
70.049944	 2.51E+02
70.149944	 2.51E+02
70.249944	 2.51E+02
70.349944	 2.51E+02
70.449944	 2.51E+02
70.549944	 2.51E+02
70.649944	 2.51E+02
70.749944	 2.51E+02
70.849944	 2.51E+02
70.949944	 2.51E+02
71.049944	 2.51E+02
71.149944	 2.51E+02
71.249944	 2.51E+02
71.349944	 2.51E+02
71.449944	 2.51E+02
71.549944	 2.51E+02
71.649944	 2.51E+02
71.749944	 2.51E+02
71.849944	 2.51E+02
71.949944	 2.51E+02
72.049944	 2.51E+02
72.149944	 2.51E+02
72.249944	 2.51E+02
72.349944	 2.51E+02
72.449944	 2.51E+02
72.549944	 2.51E+02
72.649944	 2.51E+02
72.749944	 2.51E+02
72.849944	 2.51E+02
72.949944	 2.51E+02
73.049944	 2.51E+02
73.149944	 2.51E+02
73.249944	 2.51E+02
73.349944	 2.51E+02
73.449944	 2.51E+02
73.549944	 2.51E+02
73.649944	 2.51E+02
73.749944	 2.51E+02
73.849944	 2.51E+02
73.949944	 2.51E+02
74.049944	 2.51E+02
74.149944	 2.51E+02
74.249944	 2.51E+02
74.349944	 2.51E+02
74.449944	 2.51E+02
74.549944	 2.51E+02
74.649944	 2.51E+02
74.749944	 2.51E+02
74.849944	 2.51E+02
74.949944	 2.51E+02
75.049944	 2.51E+02
75.149944	 2.51E+02
75.249944	 2.51E+02
75.349944	 2.51E+02
75.449944	 2.51E+02
75.549944	 2.51E+02
75.649944	 2.51E+02
75.749944	 2.51E+02
75.849944	 2.51E+02
75.949944	 2.51E+02
76.049944	 2.51E+02
76.149944	 2.51E+02
76.249944	 2.51E+02
76.349944	 2.51E+02
76.449944	 2.51E+02
76.549944	 2.51E+02
76.649944	 2.51E+02
76.749944	 2.51E+02
76.849944	 2.51E+02
76.949944	 2.51E+02
77.049944	 2.51E+02
77.149944	 2.51E+02
77.249944	 2.51E+02
77.349944	 2.51E+02
77.449944	 2.51E+02
77.549944	 2.51E+02
77.649944	 2.51E+02
77.749944	 2.51E+02
77.849944	 2.51E+02
77.949944	 2.51E+02
78.049944	 2.51E+02
78.149944	 2.51E+02
78.249944	 2.51E+02
78.349944	 2.51E+02
78.449944	 2.51E+02
78.549944	 2.51E+02
78.649944	 2.51E+02
78.749944	 2.51E+02
78.849944	 2.51E+02
78.949944	 2.51E+02
79.049944	 2.51E+02
79.149944	 2.51E+02
79.249944	 2.51E+02
79.349944	 2.51E+02
79.449944	 2.51E+02
79.549944	 2.51E+02
79.649944	 2.51E+02
79.749944	 2.51E+02
79.849944	 2.51E+02
79.949944	 2.51E+02
80.049944	 2.61E+02
80.149944	 2.61E+02
80.249944	 2.61E+02
80.349944	 2.61E+02
80.449944	 2.61E+02
80.549944	 2.61E+02
80.649944	 2.61E+02
80.749944	 2.61E+02
80.849944	 2.61E+02
80.949944	 2.61E+02
81.049944	 2.61E+02
81.149944	 2.61E+02
81.249944	 2.61E+02
81.349944	 2.61E+02
81.449944	 2.61E+02
81.549944	 2.61E+02
81.649944	 2.61E+02
81.749944	 2.61E+02
81.849944	 2.61E+02
81.949944	 2.61E+02
82.049944	 2.61E+02
82.149944	 2.61E+02
82.249944	 2.61E+02
82.349944	 2.61E+02
82.449944	 2.61E+02
82.549944	 2.61E+02
82.649944	 2.61E+02
82.749944	 2.61E+02
82.849944	 2.61E+02
82.949944	 2.61E+02
83.049944	 2.61E+02
83.149944	 2.61E+02
83.249944	 2.61E+02
83.349944	 2.61E+02
83.449944	 2.61E+02
83.549944	 2.61E+02
83.649944	 2.61E+02
83.749944	 2.61E+02
83.849944	 2.61E+02
83.949944	 2.61E+02
84.049944	 2.61E+02
84.149944	 2.61E+02
84.249944	 2.61E+02
84.349944	 2.61E+02
84.449944	 2.61E+02
84.549944	 2.61E+02
84.649944	 2.61E+02
84.749944	 2.61E+02
84.849944	 2.61E+02
84.949944	 2.61E+02
85.049944	 2.61E+02
85.149944	 2.61E+02
85.249944	 2.61E+02
85.349944	 2.61E+02
85.449944	 2.61E+02
85.549944	 2.61E+02
85.649944	 2.61E+02
85.749944	 2.61E+02
85.849944	 2.61E+02
85.949944	 2.61E+02
86.049944	 2.61E+02
86.149944	 2.61E+02
86.249944	 2.61E+02
86.349944	 2.61E+02
86.449944	 2.61E+02
86.549944	 2.61E+02
86.649944	 2.61E+02
86.749944	 2.61E+02
86.849944	 2.61E+02
86.949944	 2.61E+02
87.049944	 2.61E+02
87.149944	 2.61E+02
87.249944	 2.61E+02
87.349944	 2.61E+02
87.449944	 2.61E+02
87.549944	 2.61E+02
87.649944	 2.61E+02
87.749944	 2.61E+02
87.849944	 2.61E+02
87.949944	 2.61E+02
88.049944	 2.61E+02
88.149944	 2.61E+02
88.249944	 2.61E+02
88.349944	 2.61E+02
88.449944	 2.61E+02
88.549944	 2.61E+02
88.649944	 2.61E+02
88.749944	 2.61E+02
88.849944	 2.61E+02
88.949944	 2.61E+02
89.049944	 2.61E+02
89.149944	 2.61E+02
89.249944	 2.61E+02
89.349944	 2.61E+02
89.449944	 2.61E+02
89.549944	 2.61E+02
89.649944	 2.61E+02
89.749944	 2.61E+02
89.849944	 2.61E+02
89.949944	 2.61E+02
90.049944	 2.61E+02
90.149944	 2.61E+02
90.249944	 2.61E+02
90.349944	 2.61E+02
90.449944	 2.61E+02
90.549944	 2.61E+02
90.649944	 2.61E+02
90.749944	 2.61E+02
90.849944	 2.61E+02
90.949944	 2.61E+02
91.049944	 2.61E+02
91.149944	 2.61E+02
91.249944	 8.07E+02
91.349944	 8.07E+02
91.449944	 8.07E+02
91.549944	 8.07E+02
91.649944	 8.07E+02
91.749944	 8.07E+02
91.849944	 8.07E+02
91.949944	 8.07E+02
92.049944	 8.07E+02
92.149944	 8.07E+02
92.249944	 8.07E+02
92.349944	 8.07E+02
92.449944	 8.07E+02
92.549944	 8.07E+02
92.649944	 8.07E+02
92.749944	 8.07E+02
92.849944	 8.07E+02
92.949944	 8.07E+02
93.049944	 8.07E+02
93.149944	 8.07E+02
93.249944	 8.07E+02
93.349944	 8.07E+02
93.449944	 8.07E+02
93.549944	 8.07E+02
93.649944	 8.07E+02
93.749944	 8.07E+02
93.849944	 8.07E+02
93.949944	 8.07E+02
94.049944	 8.07E+02
94.149944	 8.07E+02
94.249944	 8.07E+02
94.349944	 8.07E+02
94.449944	 8.07E+02
94.549944	 8.07E+02
94.649944	 8.07E+02
94.749944	 8.07E+02
94.849944	 8.07E+02
94.949944	 8.07E+02
95.049944	 8.07E+02
95.149944	 8.07E+02
95.249944	 8.07E+02
95.349944	 8.07E+02
95.449944	 8.07E+02
95.549944	 8.07E+02
95.649944	 8.07E+02
95.749944	 8.07E+02
95.849944	 8.07E+02
95.949944	 8.07E+02
96.049944	 8.07E+02
96.149944	 8.07E+02
96.249944	 8.07E+02
96.349944	 8.07E+02
96.449944	 8.07E+02
96.549944	 8.07E+02
96.649944	 8.07E+02
96.749944	 8.07E+02
96.849944	 8.07E+02
96.949944	 8.07E+02
97.049944	 8.07E+02
97.149944	 8.07E+02
97.249944	 8.07E+02
97.349944	 8.07E+02
97.449944	 8.07E+02
97.549944	 8.07E+02
97.649944	 8.07E+02
