Wavelength (nm)	Flux (ergs/cm^2/s/nm)
117.95	10.364600000000001
118.05	133.352
118.15	136.72
118.25	11.932
118.35	27.511300000000002
118.45	3.7523900000000006
118.55	22.2298
118.65	14.888300000000001
118.75	27.2281
118.85	13.7931
118.95	59.4742
119.05	105.075
119.15	18.7913
119.25	15.8231
119.35	81.913
119.45	184.367
119.55	33.657700000000006
119.65	56.6015
119.75	132.751
119.85	70.1612
119.95	96.23920000000001
120.05	98.11930000000001
120.15	75.5558
120.25	54.369200000000006
120.35	26.831800000000005
120.45	65.8868
120.55000000000001	81.5982
120.64999999999999	1823.96
120.75	114.60000000000001
120.85	138.535
120.95	148.015
121.05000000000001	183.814
121.14999999999999	360.692
121.25	782.1460000000001
121.35	1722.65
121.45	8076.99
121.55000000000001	607538.0
121.64999999999999	59765.8
121.75	3086.24
121.85	1862.99
121.95	440.719
122.05000000000001	252.157
122.14999999999999	141.06
122.25	69.0456
122.35	80.4855
122.45	48.688
122.55000000000001	16.489600000000003
122.64999999999999	39.7107
122.75	75.4038
122.85	41.4165
122.95	38.6401
123.05000000000001	50.167
123.14999999999999	21.290100000000002
123.25	26.577600000000004
123.35	19.900900000000004
123.45	18.2191
123.55	15.896900000000002
123.64999999999999	6.997920000000001
123.75	77.996
123.85000000000001	1902.19
123.95	249.579
124.05	33.9791
124.14999999999999	183.213
124.25	1040.92
124.35000000000001	120.37
124.45	186.857
124.55	22.831600000000005
124.64999999999999	21.6928
124.75	37.22430000000001
124.85000000000001	190.751
124.95	98.9797
125.05	48.58670000000001
125.15	27.881300000000003
125.25	25.960900000000002
125.35	86.8186
125.45	61.41360000000001
125.55	22.2892
125.65	44.71470000000001
125.75	68.5686
125.85	66.76260000000002
125.95	50.84910000000001
126.05	118.101
126.15	66.46240000000002
126.25	71.2303
126.35	4.716980000000001
126.45	402.406
126.55	165.736
126.65	63.04130000000001
126.75	34.8093
126.85	30.905800000000003
126.95	0.362194
127.05	51.1493
127.15000000000002	59.5384
127.25	33.208200000000005
127.35	33.6871
127.45	25.799
127.55	25.8894
127.65000000000002	23.8909
127.75	78.0464
127.85	8.29179
127.95	57.0165
128.05	85.87050000000002
128.14999999999998	11.7727
128.25	18.3183
128.35	0.306731
128.45000000000002	1.2838600000000002
